product_id,Product Name,Actual Avg Weekly Sales,Prophet MAE,Prophet MAPE (%),Prophet Forecast (1w),Prophet Forecast (2w),SARIMAX MAE,SARIMAX MAPE (%),SARIMAX Forecast (1w),SARIMAX Forecast (2w)
11ef9fa9e8ed6502a4c20acdfb026a8f,Lion Strong 8.8% Can 500Ml,0.12,0.16,2.368767894931818e+16,0.1,0.2,0.19,6.068970907761013e+16,0.19,0.39
11ef9fa9e89d948ca0ab0acdfb026a8f,Carlsberg Elephant Bt,1.59,1.7,3.319557654658195e+17,-1.78,-3.61,0.3,1.1876124545349365e+17,-0.39,0.2
11ef9fa9e84a5b3cb3410acdfb026a8f,Gossips Shiraz 750Ml,75.0,41.09,77.66,27.74,56.14,34.8,129.19,87.04,190.32
11ef9fa9e856afb8941b0acdfb026a8f,Passion Pop Watermelon 750mL,0.08,0.08,3965015093998726.0,0.01,0.02,0.08,2.5228806452373624e+16,0.11,0.18
11ef9fa9e87f3b5e86e50acdfb026a8f,Spring Rock Smooth Dry Red 4L,0.04,0.14,3630508130496517.0,-0.02,-0.04,0.12,6582102709200198.0,0.0,0.03
11ef9fa9e84a68ac9f270acdfb026a8f,Heineken Bottle 330Ml,211.96,144.53,173.62,-31.74,-63.84,112.01,1188.79,197.1,387.5
11ef9fa9e8a787bca5710acdfb026a8f,Martell Cognac Blue Swift 700Ml,78.02,42.67,52.45,-8.64,-17.32,46.64,2863.58,58.55,115.2
11ef9fa9e856e1eaa4280acdfb026a8f,St Agnes Vs 3 Star 375Ml,0.7,0.47,118.87,-0.12,-0.25,0.13,66.31,0.43,0.89
11ef9fa9e8c506e89d1e0acdfb026a8f,Wild Turkey Heritage 9% 24Pk Can,1.44,4.37,2.51680139882729e+16,0.22,0.48,4.55,7.179711242055316e+17,1.93,4.96
11ef9fa9e856fd8893d10acdfb026a8f,Victoria Bitter 375Ml Bt,194.53,181.26,285.82,-67.07,-135.17,139.88,783.06,174.9,410.36
11ef9fa9e86148d891800acdfb026a8f,Coca Cola No Sugar 1.25L,2.43,1.63,72.59,-0.05,-0.09,1.6,467.21,2.42,4.0
11ef9fa9e856fe9693710acdfb026a8f,Victoria Bitter Can 375Ml Blocks 30Pk,133.08,182.63,239.37,-52.92,-106.69,112.77,237.12,111.43,216.37
11efa176d4824028a97602834053f17d,Hennessy VSOP Lebron James 700mL,0.17,0.3,5.662012538332724e+16,-0.27,-0.56,0.09,9149461944638458.0,-0.18,-0.26
11ef9fa9e8b13898bc480acdfb026a8f,Sprite Lemonade Bt 2L,1.45,1.05,79.75,0.17,0.35,0.17,15.13,1.47,3.14
11ef9fa9e861411288460acdfb026a8f,Coca Cola 1.25L,4.98,4.09,294.2,-1.67,-3.37,2.01,557.54,4.19,8.29
11ef9fa9e8e33c4e91750acdfb026a8f,Coopers Dry 3.5% Can 375Ml 24Pk,0.03,0.13,1117337633073479.1,-0.0,-0.01,0.13,206143653381858.56,0.03,0.07
11ef9fa9e8e30616adb70acdfb026a8f,Balter Cerveza Can 375Ml 24Pk,0.92,1.44,2.928976784649718e+17,-1.43,-2.9,0.67,1.0207207971264797e+17,-0.48,-0.59
11ef9fa9e84a5da8baa80acdfb026a8f,Grants Family Reserve Scotch Whiskey 700Ml,7.27,24.93,8324.59,-24.13,-48.71,1.61,573.18,-1.26,-2.71
11ef9fa9e8a7b5fcb1ce0acdfb026a8f,St Helena Brandy 700Ml 6Pk,0.27,0.13,1.0891158682720316e+16,-0.07,-0.14,0.16,6.936593710886695e+16,0.2,0.35
11ef9fa9e8a752a69fb50acdfb026a8f,Suntory -196 Double Grape Can 330mL 3x10Pk,5.83,11.91,4367.56,-11.03,-22.27,1.51,713.77,1.24,0.46
11ef9fa9e8610d6ebcdf0acdfb026a8f,Woodstock & Cola 8% 375Ml Can 30Pk,10.76,5.16,76.86,3.27,6.61,4.21,121.93,8.94,18.86
11ef9fa9e87f11f68f100acdfb026a8f,Berri Est Dolce Bianco Cask 5L,0.05,0.25,1.2106092402901412e+16,0.05,0.11,0.25,2.296386848256497e+16,0.06,0.17
11efb11f90ca19c488c202d8a60509dd,Clearance $3,5.34,13.04,9.092660212183288e+17,-4.73,-9.53,9.59,2.0878003294138432e+17,-1.14,2.58
11ef9fa9e856f630aeff0acdfb026a8f,UDL Vodka & Passionfruit Can 375Ml 24Pk,0.06,0.05,2900960449964527.0,-0.02,-0.03,0.03,8437786501879875.0,0.02,0.09
11ef9fa9e8ecf59a86370acdfb026a8f,Iget Bar Grape 3500,0.28,0.15,50.0,0.18,0.41,0.1,33.33,0.37,1.03
11ef9fa9e856f1ee887c0acdfb026a8f,Tooheys New Bottle 375Ml 24Pk,0.04,0.16,8913293345208330.0,-0.04,-0.08,0.14,1656908680439331.0,0.0,-0.0
11ef9fa9e84a2d4c861f0acdfb026a8f,Cougar & Cola Can 375Ml Ctn,0.41,1.67,1.4387837448293742e+17,-0.67,-1.45,1.19,4139146404546294.0,-0.35,-0.25
11ef9fa9e84a383ca1150acdfb026a8f,De Bortoli Sacred Hill Shiraz 750Ml,0.06,1.37,1.844907335715761e+16,0.11,0.22,1.4,3.730449681910562e+16,-0.1,0.08
11ef9fa9e8b0f342ae9c0acdfb026a8f,Jack Daniels Black Label 200Ml,0.58,0.41,48.64,0.08,0.17,0.37,199.1,0.56,1.13
11ef9fa9e8570ff8817b0acdfb026a8f,Woodstock & Cola 12% Can 200Ml,103.11,28.88,117.63,47.55,96.19,93.52,305.31,117.9,207.84
11ef9fa9e8a7aae49c780acdfb026a8f,Divas Vkat 700Ml,0.67,0.21,30.83,0.43,0.86,0.54,94.23,0.6,1.18
11ef9fa9e86b1106ac2d0acdfb026a8f,Fireball Cinnamon Whisky 200Ml,0.94,0.66,82.79,0.08,0.16,0.05,6.62,0.74,1.51
11ef9fa9e8610bfc8d730acdfb026a8f,Jack Daniels & Cola 375Ml Can 20Pk,26.18,22.54,231.31,21.68,43.83,24.45,474.17,28.59,66.78
11ef9fa9e856bf44af520acdfb026a8f,Red Bull Energy Drink Can 250Ml 24Pk,22.68,21.92,60.62,2.38,4.84,21.51,419.47,50.49,78.81
11ef9fa9e861856488cb0acdfb026a8f,Coronita Bt 210Ml,2.63,4.94,3.129981010086295e+16,0.01,0.12,5.42,6.600348370752954e+17,1.81,5.03
11ef9fa9e84a94ee87e40acdfb026a8f,Johnnie Walker Red 1L,35.02,75.57,8540.87,-75.16,-151.74,1.84,61.2,1.52,8.31
11ef9fa9e874ee4288480acdfb026a8f,Stomping Ground Gipps St Pale Ale Can 355Ml 1,0.08,0.09,2.513634998293838e+16,0.1,0.21,0.14,4.7437584478374856e+16,0.15,0.33
11ef9fa9e87531c292a20acdfb026a8f,Holiday 20S Sun Gold 10Pk,0.07,0.11,3168259207605769.0,-0.02,-0.03,0.11,1.1720708381895304e+16,0.03,0.1
11ef9fa9e89314ee9a910acdfb026a8f,Russian Standard Vodka Gold 700Ml 6Pk,0.1,0.43,2.075838876459897e+16,-0.08,-0.17,0.33,6751038057708960.0,-0.03,-0.02
11ef9fa9e84a5fc49da60acdfb026a8f,Great Northern Super Crisp Lager 3.5% Btl 330Ml,144.89,125.45,199.23,-59.89,-120.73,50.02,159.37,129.62,253.28
11ef9fa9e856a7c0a4a70acdfb026a8f,Nobbys Salted Nuts 50G,0.07,0.29,636404635413556.5,-0.0,-0.01,0.29,1.6163748108447728e+16,0.03,0.09
11ef9fa9e89d8a50ba280acdfb026a8f,Vodkaa 700mL,17.82,5.9,744.62,5.18,10.49,13.76,1481.47,16.37,55.5
11ef9fa9e86b7e98b0490acdfb026a8f,Woodstock 6% Sugar Free Cn 24Pk,6.39,19.99,1425.41,-17.8,-36.43,1.69,124.86,-0.17,-0.77
11ef9fa9e8bae55094780acdfb026a8f,Wild Turkey Cola 4.8% Can 375Ml 30Pk,7.18,4.48,468.94,7.17,14.5,5.14,579.18,8.02,15.98
11efb1215dd6e3b09d2b02d8a60509dd,Clearance 2$,3.1,3.7,7.972847183109071e+17,-3.61,-7.26,0.28,3.1178750722615376e+16,-0.04,0.13
11ef9fa9e8569ddeb3e60acdfb026a8f,Mercury Dry Cider Bt 375Ml 24Pk,0.18,0.26,2.8862065043496824e+16,-0.14,-0.29,0.11,1661225679281223.8,0.06,0.07
11ef9fa9e8610f3aa8010acdfb026a8f,Jack Daniels Double Jack & Cola 375Ml 20Pk,27.94,24.64,470.84,35.16,71.07,23.8,464.7,22.9,50.93
11ef9fa9e84a1bf4a6430acdfb026a8f,Carlton Dry Bottle 330Ml,284.17,310.15,189.41,-120.93,-244.02,98.02,106.04,191.36,416.52
11ef9fa9e88938708dfd0acdfb026a8f,Absolut Vodka 1L,17.49,42.11,11251.91,-42.89,-86.59,5.94,1382.46,-12.59,-20.78
11ef9fa9e875327698240acdfb026a8f,Coopers Best Extra Stout Bt 750Ml,0.61,0.63,539.73,0.71,1.44,0.83,676.96,0.36,1.16
11ef9fa9e8932fc49d8e0acdfb026a8f,Tom Cobb Whiskey 700Ml,0.06,0.2,2.4832046018858412e+16,-0.12,-0.25,0.09,738610462352599.1,0.02,0.01
11ef9fa9e86ba77ebbac0acdfb026a8f,Heineken Can 500mL,13.97,10.71,783.31,-9.05,-18.26,1.48,168.26,2.89,7.2
11ef9fa9e8baf72ab03a0acdfb026a8f,Little Fat Lamb B/Scotch Crm 700Ml 6Pk,0.03,0.17,1559401895825451.2,-0.01,-0.01,0.17,5664425261286394.0,-0.0,0.03
11ef9fa9e8f79cb6bbc50acdfb026a8f,Jack Daniels Cola Mid 3.5% Can 375Ml 24Pk,0.11,0.4,3.2633674740242556e+16,-0.15,-0.3,0.29,855842877531371.4,-0.03,-0.06
11ef9fa9e8894af4aaf00acdfb026a8f,Rumours Shiraz 750Ml,0.46,1.04,4.8684274245545016e+16,0.21,0.43,1.09,1.3778683899925387e+17,0.69,1.45
11ef9fa9e84a8288a07b0acdfb026a8f,Jameson Irish Whisky 1L,21.22,57.05,19110.63,-56.64,-114.37,6.41,2926.86,-13.34,-20.57
11ef9fa9e87f698a908e0acdfb026a8f,Cleanskin Chardonnay 750Ml,0.04,2.12,7782606121481550.0,0.08,0.17,2.1,1487937038512880.2,-0.04,0.18
11ef9fa9e8571f84ac290acdfb026a8f,Wild Turkey 101 510Ml 12Pk Bt,0.76,0.71,95.03,0.03,0.06,0.17,22.62,0.78,1.58
11ef9fa9e8a78b3695770acdfb026a8f,Remy Martin Cognac Vsop 700Ml,0.03,0.1,4393115094778495.5,-0.02,-0.04,0.08,4960581363047675.0,-0.01,-0.0
11efa8841d5deffe91ce02d35e218ef3,Hennessy XO Jean Michel Othoniel 700ml,0.18,0.47,6.687068744501656e+16,-0.32,-0.67,0.3,3.861482971955264e+16,-0.13,-0.2
11ef9fa9e84a8db482b60acdfb026a8f,Jim Beam White Bourbon 1L,30.72,62.58,9893.56,-61.25,-123.68,6.68,650.93,0.02,0.01
11ef9fa9e8bae97ebce00acdfb026a8f,Lion Strong Beer 8.8% Longneck 625Ml,0.07,0.09,1556633979530274.2,-0.01,-0.02,0.08,1.4621422336575204e+16,0.07,0.12
11ef9fa9e84a7b62a7e90acdfb026a8f,Jacobs Creek Classic Shiraz 750Ml 12Pk,1.73,2.57,865.42,2.9,5.87,3.36,1311.2,3.74,6.82
11ef9fa9e8b1383eb0e70acdfb026a8f,Sprite Lemonade Bt 1.25L,1.29,0.75,127.64,-0.2,-0.41,1.11,1076.47,1.1,2.29
11ef9fa9e856d2ea8f940acdfb026a8f,Smirnoff Vodka Red 1L,37.88,61.5,34525.04,-59.37,-119.86,18.27,15272.18,-9.28,-10.28
11ef9fa9e8a74eaaabd40acdfb026a8f,Sense Soju Original 19.3% Bt 375Ml 20Pk,0.07,0.08,1.2354457434884336e+16,-0.06,-0.13,0.01,3809787571865946.0,0.04,0.04
11ef9fa9e86b716490ec0acdfb026a8f,Suntory -196 Double Lemon Can 330ml 3x10pk,30.12,64.54,1223.61,-44.0,-88.79,19.25,536.85,12.57,30.0
11ef9fa9e8f75490bd5e0acdfb026a8f,Pure Blonde 4.2% Btl 330Ml,155.09,167.17,164.71,-68.43,-137.97,59.01,66.66,137.04,257.89
11ef9fa9e8a7ab3ea18f0acdfb026a8f,Divas Vkat Black Label 700Ml,0.07,0.29,1.1822923832441824e+16,0.05,0.11,0.31,3.056664498953389e+16,0.05,0.18
11ef9fa9e8934b44af030acdfb026a8f,Rothmans 25S Cool Crush Blue 8Pk,0.81,1.39,270.22,-0.29,-0.59,1.0,220.59,0.66,1.27
11ef9fa9e8a7897e877b0acdfb026a8f,Martell VSOP Red Barrel 700Ml,0.77,0.5,4.799700289874204e+16,0.12,0.24,0.56,2.505729119364296e+17,0.91,1.77
11ef9fa9e8f7f076ad350acdfb026a8f,Johnnie Walker Blue Label Cny Snake 750Ml,0.11,0.28,3.33929736367388e+16,-0.16,-0.34,0.17,1.2920058698305142e+16,-0.01,0.02
11ef9fa9e8b0e9d8bc800acdfb026a8f,Absolut Vodka 200Ml,1.16,2.44,376.78,2.8,5.65,2.41,344.23,2.79,5.14
11ef9fa9e84a1a96872f0acdfb026a8f,Carlton Draught Can 375Ml,198.0,129.64,89.93,66.33,134.26,155.35,279.56,219.13,458.61
11ef9fa9e84a903e90550acdfb026a8f,Jim Beam White Bourbon Min 50Ml Btl,0.09,0.15,2.8910761203883736e+16,0.12,0.25,0.17,5.304672558694101e+16,0.21,0.43
11ef9fa9e87547de8e590acdfb026a8f,Bavari Origin 8.6 Special Blonde Can,0.39,0.4,1.293204458399508e+17,0.51,1.05,0.74,2.2451269644950032e+17,0.94,1.76
11ef9fa9e84a0ed49caf0acdfb026a8f,Bundaberg Rum Up 700Ml,0.08,0.17,1.6606122325062018e+16,0.08,0.15,0.13,2.8834496335697708e+16,0.15,0.29
11ef9fa9e89d1f2082c60acdfb026a8f,Penfolds Koonunga Hill Shiraz 750mL,0.53,0.6,2.2110826272254288e+17,0.84,1.73,0.91,3.527247954766989e+17,1.22,2.5
11ef9fa9e8613b7283220acdfb026a8f,Winfield 25S Optimum Blue Crush 8Pk,1.74,0.28,70.99,-0.43,-0.86,0.5,144.54,0.03,-0.01
11ef9fa9e849f50ca50d0acdfb026a8f,Bic Lighter L 50pk,0.33,0.35,192.95,-0.16,-0.33,0.11,97.55,0.23,0.47
11ef9fa9e84a7112ab600acdfb026a8f,Jack Daniels Black Label 1L,27.4,71.11,15887.6,-70.45,-142.25,10.62,1576.55,-10.91,-18.03
11ef9fa9e84a7216b0890acdfb026a8f,Jack Daniels Black Label 700Ml,17.31,16.38,923.13,-3.58,-7.21,48.4,20184.8,23.46,50.56
11ef9fa9e874dab0beaa0acdfb026a8f,Jack Daniels Double No Sugar Can 20Pk,13.78,16.26,2190.7,17.43,35.23,17.26,2154.17,8.26,25.72
11ef9fa9e8f7e306a9ad0acdfb026a8f,Queen Cranberry Soju 360Ml,0.19,0.2,1.5289066618911284e+16,0.06,0.12,0.24,6.063580888470127e+16,0.29,0.55
11ef9fa9e892e60494c40acdfb026a8f,Hardy Nottage Hill Chardonnay 750Ml,0.01,0.09,1073508518580718.1,-0.0,-0.0,0.08,222970445468161.38,0.03,0.05
11ef9fa9e89d84e2a33e0acdfb026a8f,Ballantines Scotch Whisky 1L,21.52,41.27,16576.7,-43.35,-87.75,4.78,2062.79,-4.52,-6.64
11ef9fa9e8570ab29c290acdfb026a8f,Winfield 25S Gold Original 8pk,0.08,0.13,1.418976538077234e+16,-0.08,-0.16,0.07,3952050753897140.5,0.03,0.06
11ef9fa9e8a7b2329a030acdfb026a8f,Mj Oniro Ouzo 700Ml 12Pk,0.02,0.25,1362979107596847.8,0.01,0.02,0.24,2940757447800285.5,0.02,0.05
11ef9fa9e8ed4914978a0acdfb026a8f,Suntory - 196 Double Peach Can 330mL 3x10Pk,7.93,8.01,980.46,6.58,13.31,8.66,2305.41,12.7,25.74
11ef9fa9e8bb4d60b3250acdfb026a8f,RB Bourbon 700Ml,5.45,3.03,50.68,-0.3,-0.59,4.67,1149.86,4.45,12.19
11ef9fa9e8ed6b42abd40acdfb026a8f,Muhak Good Day Original Soju Btl 360Ml,0.02,0.08,6979790507041567.0,-0.03,-0.07,0.04,5820370025760254.0,-0.02,-0.04
11ef9fa9e8cef78482410acdfb026a8f,Choosy Beggars Cabernet Merlot 750Ml,4.7,4.04,1582.92,2.93,5.93,4.17,1684.07,3.9,7.4
11ef9fa9e89d1dae87e10acdfb026a8f,Penfolds Maxs Pinot Noir 750Ml,0.05,0.1,3973527222636597.5,-0.02,-0.04,0.09,7114146509918078.0,0.01,0.08
11ef9fa9e8ed5f7687630acdfb026a8f,Victoria Bitter Low Carb 4.9% Can 375mL,0.23,0.28,3.363563950549168e+16,0.13,0.27,0.32,4.336466643008566e+16,0.17,0.49
11ef9fa9e8baee42af630acdfb026a8f,Sapporo Premium Beer Silver Can 650Ml,1.88,2.26,219.82,0.46,0.93,1.82,1032.92,2.48,4.66
11ef9fa9e84a5f6aa3bc0acdfb026a8f,Great Northern Super Crisp 3.5% Can Block 375Ml 30Pk,158.94,91.31,48.56,-10.15,-20.25,91.78,1301.91,134.89,287.74
11ef9fa9e8752fec80020acdfb026a8f,Boags Draught Can 375Ml 24Pk,0.37,0.3,3.835678522673814e+16,-0.2,-0.4,0.03,1.0855786467328472e+16,0.03,0.11
11ef9fa9e856d984a21b0acdfb026a8f,Coca Cola 2Lt Btl 8Pk,5.87,3.02,117.06,0.49,0.99,3.13,597.77,6.85,13.56
11ef9fa9e84a1672a0c10acdfb026a8f,Canadian Club Whisky 700mL,2.41,2.92,1256.36,4.04,8.15,2.09,829.6,2.6,8.45
11ef9fa9e84a26bc88870acdfb026a8f,Coca Cola Can 375Ml 24Pk,3.42,3.94,214.72,1.74,3.51,4.03,611.14,3.92,9.87
11ef9fa9e8cee460a7bb0acdfb026a8f,Cruiser Double Raspberry 6.8% Can 375Ml 24Pk,0.26,0.3,8.408751693876688e+16,0.3,0.62,0.69,1.9094030284130445e+17,0.67,1.39
11ef9fa9e8ed4068a1610acdfb026a8f,Cruiser Double Green Apple 6.8% Can 375Ml 24Pk,3.72,6.65,934.3,-3.12,-6.3,3.02,305.23,0.32,0.21
11ef9fa9e86b18d6a05a0acdfb026a8f,Parker & Simpson 20S Blue 10Pk,0.01,0.06,2604549156153825.5,-0.01,-0.02,0.05,686688876773504.2,-0.01,-0.01
11ef9fa9e8ff786ebbfc0acdfb026a8f,Hard Rated Zero Sugar Lemon Lime 375ml Can 3x10pk,16.14,16.47,216.28,20.82,42.07,16.91,168.99,29.9,39.7
11ef9fa9e89351d4bb1e0acdfb026a8f,Winfield 20G Red Ryo 5Pk,0.02,0.1,2646903996758144.0,0.02,0.03,0.11,6982583643969454.0,0.04,0.08
11ef9fa9e87f464ebf4f0acdfb026a8f,Wyndham Est Bin 444 Cabernet Sauvignon 750Ml,0.01,0.17,1093224849554949.4,0.01,0.02,0.17,2448933426586254.5,-0.01,0.01
11ef9fa9e8bb6b8884e30acdfb026a8f,Poets Country Crisp Can 375Ml,0.02,0.02,2345542910399032.0,0.01,0.02,0.03,5215367596998421.0,0.01,0.03
11ef9fa9e874eb6893670acdfb026a8f,Le Chat Pinot Noir Bt,0.01,0.04,133470126114079.66,-0.0,-0.0,0.04,2210576481628835.5,-0.0,0.01
11ef9fa9e86b2a4cb14f0acdfb026a8f,Bombay Gin & Tonic Double Serve 10% Can 250ml,3.21,2.5,135.31,3.6,7.27,0.27,14.53,4.07,6.38
11ef9fa9e87f9720bddc0acdfb026a8f,Taylors Estate Pinot Noir 750Ml,0.51,0.21,6871878434286733.0,-0.18,-0.38,0.5,1.8650156981379498e+17,0.18,0.28
11ef9fa9e856c732b6b70acdfb026a8f,Rumours Sauvignon Blanc 750Ml,3.31,1.54,100.15,2.72,5.51,3.41,140.1,4.83,11.09
11ef9fa9e84a56aa97350acdfb026a8f,Gossips Cabernet Merlot 750Ml,13.84,4.73,177.1,-3.49,-7.02,8.93,832.47,11.86,33.41
11ef9fa9e8cefef0b2a60acdfb026a8f,Hahn Ultra Low Carb Bt 330Ml,8.2,24.4,2473.97,-23.08,-46.6,1.51,144.1,1.22,0.62
11ef9fa9e84a63acb97e0acdfb026a8f,Hahn Super Dry Bt 330Ml 24Pk,2.94,2.09,259.02,-1.06,-2.14,1.31,485.81,3.33,5.44
11ef9fa9e857026a80fa0acdfb026a8f,Wild Boar 9% Can 500ml 24Pk,5.25,3.14,123.62,2.78,5.63,3.64,290.45,5.22,10.74
11ef9fa9e8c49a46abc50acdfb026a8f,Coca Cola No Sugar 2L,4.21,1.58,55.63,0.87,1.76,2.07,178.11,4.04,9.0
11ef9fa9e8611494a0ea0acdfb026a8f,Chivas Regal 12Yo 700 Ml,9.5,9.19,78.05,10.28,20.77,8.94,102.06,13.78,28.79
11ef9fa9e8ff7918b5d00acdfb026a8f,Winfield 25G Gold Ryo 5Pk,0.06,0.1,5439896049712024.0,0.02,0.04,0.12,2.058940463962479e+16,0.06,0.15
11ef9fa9e8f7e202bfa70acdfb026a8f,Smirnoff Crush Orange & Pineapple Can 440Ml,1.8,6.81,254.27,-2.68,-5.41,1.47,31.65,3.56,6.2
11ef9fa9e8ed64448b1d0acdfb026a8f,Clean & Smooth Vodka 700Ml,0.35,0.53,9.811139920170398e+16,-0.46,-0.96,0.17,3.0145457365652256e+16,-0.0,-0.05
11ef9fa9e8e34bf88a6b0acdfb026a8f,Vodkaa 200Ml,2.11,2.22,70.75,0.99,2.0,2.32,276.47,4.64,5.16
11ef9fa9e8ecc9bca77a0acdfb026a8f,The Drover Moscato 750mL,1.26,1.92,226.11,-1.01,-2.04,0.44,52.32,0.79,1.68
11ef9fa9e8895468898c0acdfb026a8f,Rumours Pinot Grigio 750Ml,2.88,1.77,814.62,2.04,4.12,4.9,1549.61,3.6,7.52
11ef9fa9e8ed20249bcc0acdfb026a8f,Hard Rated Lemon 4.5% Can 375Ml 3X10pk,40.25,46.58,130.15,-11.5,-23.17,9.24,26.22,31.05,68.36
11ef9fa9e8571764b1710acdfb026a8f,Yellow Tail Pinot Grigio 750Ml,0.02,0.12,4352130552356553.0,0.02,0.04,0.11,5219791839341574.0,0.02,0.05
11ef9fa9e84a7d74b9660acdfb026a8f,Jagermeister 700mL,7.1,10.5,172.46,-2.37,-4.78,4.75,40.71,9.43,16.75
11ef9fa9e849e72e85dc0acdfb026a8f,Bacardi Carta Blanca 1L,0.04,0.12,3415263386402173.5,0.01,0.03,0.13,1.2624262238933798e+16,0.03,0.08
11ef9fa9e8ecda88a3190acdfb026a8f,The Drover Dolcetto,0.07,0.41,6729581921046915.0,-0.04,-0.09,0.37,3911124882808469.5,0.03,0.17
11ef9fa9e84a8e6892e40acdfb026a8f,Jim Beam White Bourbon 200Ml,0.02,0.17,89702796355848.58,0.0,0.01,0.17,6532077845174999.0,-0.01,0.03
11ef9fa9e8bb6c8c9aa80acdfb026a8f,Tiger Beer Bt 330Ml 24Pk,7.89,2.46,120.21,4.13,8.36,3.79,214.31,5.69,24.6
11ef9fa9e8ed673cb9b50acdfb026a8f,Stella Artois 4.8% Bottle 330Ml 24Pk,24.01,49.34,870.82,-31.24,-63.06,13.12,94.57,10.01,18.39
11ef9fa9e84a4c78be410acdfb026a8f,Galliano White Sambuca Liqueur 700Ml,0.01,0.08,778755657480677.0,0.0,0.01,0.09,2335245414928076.0,0.0,0.03
11ef9fa9e87540688fc30acdfb026a8f,Nes Kit Kat 45G 48Pk,0.01,0.03,155484342468651.84,-0.0,-0.0,0.03,3532136398721304.0,0.01,0.02
11ef9fa9e89367f0b1d80acdfb026a8f,Mars Bar Classic 47G,0.01,0.02,429357078660464.44,-0.0,-0.01,0.02,2594326395518485.5,0.0,0.01
11ef9fa9e8f7e2b6b9f00acdfb026a8f,Queen Lychee Soju 360Ml,0.1,0.15,2.2204792831669652e+16,-0.12,-0.25,0.05,1.1187964804727036e+16,-0.01,-0.01
11ef9fa9e888d5b0b8c10acdfb026a8f,McGuigan Single Batch Rose 750mL,0.06,0.17,3033428502020426.0,0.01,0.03,0.11,3767483357087314.0,0.11,0.16
11ef9fa9e893539682fb0acdfb026a8f,Winfield 25S Blue Original 8Pk,0.24,0.41,6.366706175604996e+16,-0.31,-0.64,0.16,1.6252844061203788e+16,-0.01,-0.08
11ef9fa9e86111b0a5e40acdfb026a8f,Wild Turkey 101 6.5% Can 375Ml 3x10Pk,25.23,12.98,226.48,19.93,40.29,22.07,429.49,-4.26,-7.8
11ef9fa9e861a39698110acdfb026a8f,Cruiser Black Guava,2.1,4.39,8.53280198952662e+17,-4.1,-8.41,1.73,2.1752684014290838e+17,-1.38,-1.78
11ef9fa9e8f770e2b78c0acdfb026a8f,3 Rings Vodka 700Ml,0.65,1.31,458.54,-1.05,-2.18,0.64,218.98,0.44,0.46
