product_id,product_name,cheapest_branch,most_exp_branch
11f03aae5546bcf4b5d402ee417fdabd,42 DEGREES STH SAV BLANC 750ML,Bottle O Endeavour Hills ($),Harry Brown Ferntree Gully ($55.00)
11efb02353a1f1a48f050ae2611d356d,5 Seeds Can 24 (Rp),Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($82.00)
12780,5 Seeds Can 24 (Rp),Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($82.00)
295491,5 Seeds Cloudy Apple 345Ml Bottle (Rp),Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
11efb02353bf0cbca58d0ae2611d356d,5 Seeds Cloudy Apple 345Ml Btl (24Pk) Rp,Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
295490,5 Seeds Crisp Apple 345Ml Bottle ( Rp),Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
11efb02353bf0c62af400ae2611d356d,5 Seeds Crisp Apple 345Ml Btl  Rp,Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
6989,5 Seeds Crisp Apple Can 330Ml,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($82.00)
6503,5 Seeds Crisp Btl 345Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($69.00)
11efb0235366633c924e0ae2611d356d,5 Seeds Crisp Btl 345Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($69.00)
6941,5 Seeds Low Sugar Bt 345Ml 24Pk,Liquor West ($),Bottle O Endeavour Hills ($65.00)
295492,5 Seeds Lower Sugar 345Ml Bottle 24Pk (Rp),Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
11efb02353bf0d0c81930ae2611d356d,5 Seeds Lower Sugar 345Ml Btl (24Pk) Rp,Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
14951,5 Seeds Lower Sugar Cider 345Ml Bottle (Passed Date),Bottlemart Charlemont Rise ($),Bottlemart Lara ($64.99)
11efb02353b63880a7060ae2611d356d,5 Seeds Lower Sugar Cider 345Ml Bottle (Passed Date),Bottle O Endeavour Hills ($),Bottlemart Lara ($64.99)
14102,5 Square Mile Bourbon 700Ml,Bottle O Endeavour Hills ($),Bottlemart Ravenhall ($60.00)
4904,666 Pure Tasmanian Vodka 700Ml 6Pk,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($70.00)
9930,6ft6 Pinot Gris 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($26.00)
14224,6ft6 Pinot Rose 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($26.00)
9759,6ft6 Prosecco Rose 750Ml 6Pk,Liquor West ($),Bottle O Endeavour Hills ($26.00)
9931,6ft6 Sauv Blanc 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($26.00)
11efb0235397a8c0b9870ae2611d356d,6ft6 Sauv Blanc 750Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($26.00)
9722,78 Degrees Australian Whiskey 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($90.00)
6983,8.00292E+12,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($37.00)
3861,8.6 Original Beer Can 500ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($149.99)
5028,A Little Kinky Black Label Cabernet Sauvignon 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($16.00)
5029,A Little Kinky Red Label Merlot 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($16.00)
4373,A Little Kinky Red Label Pink Moscato 750Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($16.00)
3892,A Little Something Yarra Valley Blanc De Blanc 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($20.00)
4011,A Little Something Yarra Valley Chardonnay 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($20.00)
6081,A Little Something Yarra Valley Pinot Noir 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($20.00)
9750,Abbey Vale Premium Rsv Chardonnay 750Ml,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($35.00)
1236,Abbotsford Stout Bt 375Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($82.00)
4905,Abel's Gin 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($30.00)
5287,Aberfeldy 12Yo 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($82.00)
4759,Aberlour 12Y Scotch 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($102.00)
5288,Aberlour 18Yo Highland Single Malt Scotch Whiskey 500Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($229.00)
5560,Aberlour Casg Annamh Single Malt Scotch Whiskey 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($156.00)
6083,Above & Beyond Cab Merl 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($13.00)
4012,Above & Beyond Semillon Sauvignon Blanc 750ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($13.00)
6553,Absinthe Black 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($103.00)
6554,Absinthe Blue 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($103.00)
6555,Absinthe Green 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($99.00)
6556,Absinthe Red 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($99.00)
6990,Absolut Berry Lime Btl 330Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($82.00)
6991,Absolut Berry Vodkarita 250Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($145.00)
6992,Absolut Botanik Berry Lemon Can 375Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($82.00)
6993,Absolut Botanik Berry Lime Can 375Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($82.00)
8400,Absolut Ct Mango Mule 250Ml,Bottle O Endeavour Hills ($),Bottlemart Lara ($110.00)
2073,Absolut Flavours 4Pk 50Ml Mini,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($23.00)
1845,Absolut Lime & Soda Cn,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($54.00)
14120,Absolut Mosaik Le 700Ml,Bottle O Endeavour Hills ($),Bottlemart Ravenhall ($619.99)
2498,Absolut Passionfruit Cn,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($56.00)
2669,Absolut Passionfruit Martini Cn 6.5% 250Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($134.00)
7630,Absolut Rainbow Ltd Vodka 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($56.00)
7862,Absolut Uncover Vodka 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($59.00)
4906,Absolut Vodka 1L,Bottle O Endeavour Hills ($),Liquor West ($672.00)
6686,Absolut Vodka 200Ml,Liquor West ($),Bottle O Endeavour Hills ($22.00)
1201,Absolut Vodka 700Ml,Bottle O Endeavour Hills ($),Bottlemart Ravenhall ($619.99)
4907,Absolut Vodka Citron 700Ml 6Pk,Liquor West ($),Bottlemart Ravenhall ($57.00)
4908,Absolut Vodka Grapefruit 700Ml,Bottlemart Charlemont Rise ($),The Bottle-O St Albans ($52.00)
5566,Absolut Vodka Lime 700Ml 6Pk,Liquor West ($),Bottlemart Armstrong Creek ($52.99)
12668,Absolut Vodka Passionfruit 700Ml,Liquor West ($),Harry Brown Ferntree Gully ($53.00)
5562,Absolut Vodka Peach 700Ml 6Pk,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($52.99)
1092,Absolut Vodka Rasp 700Ml,Liquor West ($),Thirsty Camel Maribyrnong ($54.99)
14266,Absolut Vodka Raspberry 1L,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($68.00)
31,Absolut Vodka Vanilla 700Ml,Bottle O Endeavour Hills ($),Liquor West ($432.00)
295470,Absolut Vodka Warhol Limited Edition 700Ml,Liquor West ($),Bottlemart Armstrong Creek ($52.99)
11efb02353bf0578ad290ae2611d356d,Absolut Vodka Warhol Limited Edition 700Ml,Bottle O Endeavour Hills ($),Bottlemart Lara ($52.99)
7863,Absolut Vodka Watermelon 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Ravenhall ($59.00)
11f0976c832392129b1b068dc02be083,Absolut Vodka Wild Berri 700ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($52.99)
32,Absolut Vodka Wild Tea 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($50.00)
9724,Absolut Voices Limited Edition Vodka 700Ml,Bottle O Endeavour Hills ($),Thirsty Camel Braybrook ($52.00)
2031,Absolute Vodka 50Ml Mini,Liquor West ($),Bottlemart Charlemont Rise ($7.99)
11f00c7cae5d8e9080ff060cfe12f7a7,Active Maraska Jaguar 1 Litres,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($66.99)
2020,Actual Vodka Seltzer 300Ml Cn,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($93.00)
6994,Actual Vodka Seltzer Lime Can 300Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($119.00)
6995,Actual Vodka Seltzer Watermelon Can 300Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($121.00)
9956,Adelaide Hill Tomich Classic White 2017 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($16.00)
8576,Adelaide Hills 22 Districts Sauv Blanc 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($24.00)
7864,Adelaide Hills Distillery 78 Degrees Gin 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($84.99)
7865,Adelaide Hills Distillery 78 Degrees Sunset Gin 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($79.99)
12403,Adelaide Hills Distillery 78 Degrees Sunshine Gin 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($84.00)
8336,Adelaide Hills Hesketh Sauv.Blanc 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Ravenhall ($21.99)
8332,Adelaide Hills Sau Blanc 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Ravenhall ($19.99)
8237,Adelaide Hills Sterling Sparkling Rose' Nv,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($155.00)
12819,Aether Brewing  Blackberry Sour,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($119.00)
10052,Aether Brewing  Xpa,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($119.00)
7284,Aether Brewing All Australian Pale Ale Bt 375Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($77.00)
7285,Aether Brewing Hop West Coast Ipa,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($119.00)
11efb0235379f40692030ae2611d356d,Aether Brewing Summer Of Sour Royal Fruit Cup Cocktail,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($88.00)
7286,Aether Brewing Summer Of Sour Royal Fruit Cup Cocktail,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($88.00)
14204,Aether Vodka 700Ml,Bottlemart Charlemont Rise ($),The Bottle-O St Albans ($69.99)
12629,Agalima Organic Margarita Mix 1L,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($25.00)
11efc40f8771b1f4846a02636efe5b8f,Aguardiente Amarillo de Manzanares Bottle 700ml,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($310.00)
11f09abf6d77d7f6b3db062d0c4d3b55,Aguardiente Antioqueno 24° Sin Azucar 750ml,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($55.00)
11f09abf996b754886b10aacd9269019,Aguardiente Antioqueno Para Exportacion 750ml,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($55.00)
11f09abf3f5e4dc8b83b0a005323b417,Aguardiente Antioqueno Sin Azucar 750ml,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($55.00)
11efc40fc01da0eeb7c006ef2f116399,Aguardiente Sugar Free Cristal 750ml Bottle,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($58.00)
11f078cce32ea890a6f50603546d6a55,Aguila Beer 330ml Btl,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($26.00)
34,Agwa De Bolivia Coca Leaf Herbal Liquor 700Ml,Liquor West ($),The Bottle-O St Albans ($75.00)
7483,Akasha Cloud 9 Hazy Ipa,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($5.00)
7484,Akasha Project Blueberry Breakfast Bagel Beer 375Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($8.00)
3794,Akashi Blue Label Japanese Blended Whisky,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($104.00)
3795,Akashi Red Blended Whisky,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($73.00)
36,Akropolis Ouzo 700Ml Btl,Liquor West ($),Bottlemart Armstrong Creek ($55.00)
3868,Alaya Blanc De Blanc French Champagne,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($142.00)
9958,Alberto Nani Prosecco 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($17.00)
2373,Alize Bleau Passion 200Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($23.00)
37,Alize Bleu Passion 750Ml,Bottle O Endeavour Hills ($),Liquor West ($199.50)
6559,Alize Pineapple Liqueur 750Ml,Liquor West ($),Bottlemart Armstrong Creek ($63.00)
6003,Alize Red Passion Nu6pk 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($58.00)
9960,Alkoomi Cabernet Sauvignon 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($63.00)
6085,Alkoomi Icon Blackbutt Red 750Ml,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($120.00)
7728,Allt - A - Bhainne Whiskey 700Ml 6Pk,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($84.00)
2279,Alpine Dry Cider Bt,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($72.00)
7866,Alpine Fine 25S,Bottlemart Charlemont Rise ($),Bottlemart Ravenhall ($58.00)
7868,Alpine Rich 25S,Bottlemart Charlemont Rise ($),Bottlemart Ravenhall ($58.00)
2280,Alpine Sweet Cider,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($72.00)
8531,Alta Shiraz 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($21.00)
6757,Altina La Vie En Rose 250Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($77.00)
6758,Altina La Vie En Rose 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($118.50)
6759,Altina Le Blanc 750Ml,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($118.50)
6760,Altina Le Blanc Can 250Ml,Bottle O Endeavour Hills ($),Thirsty Camel Maribyrnong ($113.50)
6761,Altina Sangria 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($118.50)
6762,Altina Sansgria Can 250Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($20.00)
9961,Altos Crianza 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($70.00)
