yrqtr,CATEGORY,revenue
2015-Q4,Accessories,20800.10
2015-Q4,Appliances,11189.16
2015-Q4,Art,2211.95
2015-Q4,Binders,8669.87
2015-Q4,Bookcases,13203.36
2015-Q4,Chairs,30123.67
2015-Q4,Copiers,10409.79
2015-Q4,Envelopes,1892.31
2015-Q4,Fasteners,262.28
2015-Q4,Furnishings,6697.23
2015-Q4,Labels,1074.66
2015-Q4,Machines,14857.69
2015-Q4,Paper,6509.89
2015-Q4,Phones,24142.91
2015-Q4,Storage,14041.55
2015-Q4,Supplies,241.49
2015-Q4,Tables,15969.01
2016-Q1,Accessories,4890.93
2016-Q1,Appliances,3274.48
2016-Q1,Art,845.99
2016-Q1,Binders,3542.01
2016-Q1,Bookcases,3571.37
2016-Q1,Chairs,9348.74
2016-Q1,Copiers,959.97
2016-Q1,Envelopes,1081.94
2016-Q1,Fasteners,88.12
2016-Q1,Furnishings,4198.19
2016-Q1,Labels,132.37
2016-Q1,Machines,17744.49
2016-Q1,Paper,2734.21
2016-Q1,Phones,15851.45
2016-Q1,Storage,8848.11
2016-Q1,Supplies,8893.72
2016-Q1,Tables,7231.11
2016-Q2,Accessories,7222.57
2016-Q2,Appliances,4327.44
2016-Q2,Art,1468.17
2016-Q2,Binders,4687.85
2016-Q2,Bookcases,4153.80
2016-Q2,Chairs,18979.26
2016-Q2,Copiers,10439.95
2016-Q2,Envelopes,416.80
2016-Q2,Fasteners,151.22
2016-Q2,Furnishings,5269.19
2016-Q2,Labels,572.29
2016-Q2,Machines,24273.40
2016-Q2,Paper,6710.06
2016-Q2,Phones,18159.45
2016-Q2,Storage,13805.10
2016-Q2,Supplies,2445.49
2016-Q2,Tables,13000.25
2016-Q3,Accessories,12445.41
2016-Q3,Appliances,7761.80
2016-Q3,Art,1869.70
2016-Q3,Binders,12603.92
2016-Q3,Bookcases,9759.87
2016-Q3,Chairs,21556.08
2016-Q3,Copiers,11619.73
2016-Q3,Envelopes,1586.71
2016-Q3,Fasteners,248.11
2016-Q3,Furnishings,6338.93
2016-Q3,Labels,826.35
2016-Q3,Machines,3309.52
2016-Q3,Paper,5060.84
2016-Q3,Phones,18450.14
2016-Q3,Storage,14447.30
2016-Q3,Supplies,743.24
2016-Q3,Tables,15159.77
2016-Q4,Accessories,17336.96
2016-Q4,Appliances,10686.60
2016-Q4,Art,1777.06
2016-Q4,Binders,28849.55
2016-Q4,Bookcases,8790.42
2016-Q4,Chairs,34034.59
2016-Q4,Copiers,26579.78
2016-Q4,Envelopes,1644.44
2016-Q4,Fasteners,472.69
2016-Q4,Furnishings,12067.81
2016-Q4,Labels,1296.24
2016-Q4,Machines,10579.47
2016-Q4,Paper,6156.78
2016-Q4,Phones,26500.99
2016-Q4,Storage,21688.21
2016-Q4,Supplies,2195.13
2016-Q4,Tables,25442.11
2017-Q1,Accessories,8515.33
2017-Q1,Appliances,8543.08
2017-Q1,Art,1123.75
2017-Q1,Binders,12849.05
2017-Q1,Bookcases,3351.83
2017-Q1,Chairs,11325.50
2017-Q1,Copiers,24319.76
2017-Q1,Envelopes,848.14
2017-Q1,Fasteners,136.60
2017-Q1,Furnishings,2759.09
2017-Q1,Labels,277.36
2017-Q1,Machines,5089.34
2017-Q1,Paper,4729.92
2017-Q1,Phones,18264.26
2017-Q1,Storage,8668.26
2017-Q1,Supplies,6056.19
2017-Q1,Tables,6287.38
2017-Q2,Accessories,10741.88
2017-Q2,Appliances,6382.58
2017-Q2,Art,2277.41
2017-Q2,Binders,10271.18
2017-Q2,Bookcases,11019.70
2017-Q2,Chairs,19731.31
2017-Q2,Copiers,3359.95
2017-Q2,Envelopes,578.40
2017-Q2,Fasteners,100.17
2017-Q2,Furnishings,5866.77
2017-Q2,Labels,760.22
2017-Q2,Machines,11562.13
2017-Q2,Paper,5561.96
2017-Q2,Phones,17347.14
2017-Q2,Storage,18411.84
2017-Q2,Supplies,1377.38
2017-Q2,Tables,8414.29
2017-Q3,Accessories,22277.63
2017-Q3,Appliances,11402.82
2017-Q3,Art,2570.36
2017-Q3,Binders,27501.83
2017-Q3,Bookcases,5796.23
2017-Q3,Chairs,30300.42
2017-Q3,Copiers,4979.86
2017-Q3,Envelopes,588.71
2017-Q3,Fasteners,240.23
2017-Q3,Furnishings,7789.29
2017-Q3,Labels,1944.13
2017-Q3,Machines,6008.86
2017-Q3,Paper,8044.85
2017-Q3,Phones,34505.33
2017-Q3,Storage,14380.85
2017-Q3,Supplies,5523.37
2017-Q3,Tables,12397.16
2017-Q4,Accessories,18411.37
2017-Q4,Appliances,16598.41
2017-Q4,Art,2891.54
2017-Q4,Binders,22166.00
2017-Q4,Bookcases,9856.51
2017-Q4,Chairs,34197.11
2017-Q4,Copiers,30239.79
2017-Q4,Envelopes,1363.34
2017-Q4,Fasteners,380.59
2017-Q4,Furnishings,12499.92
2017-Q4,Labels,879.50
2017-Q4,Machines,20884.33
2017-Q4,Paper,9357.95
2017-Q4,Phones,35223.84
2017-Q4,Storage,28216.65
2017-Q4,Supplies,3092.46
2017-Q4,Tables,33794.72
