CATEGORY,SUBCATEGORY,revenue,units,profit,margin_pct
Tables,Bretford CR8500 Series Meeting Room Furniture,6776.57,21,461.13,6.80
Chairs,Hon Every-Day Series Multi-Task Chairs,6748.48,43,281.97,4.18
Storage,Standard Rollaway File with Lock,6594.96,40,1261.34,19.13
Chairs,Hon Multipurpose Stacking Arm Chairs,6584.64,36,814.41,12.37
Storage,"Dual Level, Single-Width Filing Carts",6574.54,43,1640.54,24.95
Tables,Balt Solid Wood Round Tables,6518.76,19,-1201.06,-18.42
Chairs,Hon Pagoda Stacking Chairs,6483.79,22,1540.70,23.76
Chairs,"Global Leather and Oak Executive Chair, Black",6410.87,26,854.78,13.33
Copiers,Sharp AL-1530CS Digital Copier,6399.88,17,2064.96,32.27
Phones,Polycom VVX 310 VoIP phone,6227.66,40,899.96,14.45
Phones,Samsung Galaxy S4,6134.70,13,438.20,7.14
Phones,Samsung Galaxy S4 Mini,6109.87,15,1104.49,18.08
Chairs,Global Comet Stacking Arm Chair,6084.14,17,697.13,11.46
Chairs,Global Ergonomic Managers Chair,6008.54,39,785.43,13.07
Copiers,Canon PC1080F Personal Copier,5999.90,11,1973.97,32.90
Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.22,39,267.29,4.46
Tables,Hon 5100 Series Wood Tables,5965.08,26,-238.62,-4.00
Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",5906.52,18,1653.83,28.00
Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,5906.03,21,1052.82,17.83
Chairs,Global Leather Executive Chair,5861.52,21,701.99,11.98
Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",5801.82,23,-66.83,-1.15
Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,5787.36,14,509.71,8.81
Storage,"Iceberg Mobile Mega Data/Printer Cart ",5751.77,49,1388.61,24.14
Chairs,Safco Contoured Stacking Chairs,5697.76,27,870.16,15.27
Copiers,Canon PC940 Copier,5669.88,15,2092.46,36.90
Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,5634.90,17,-964.20,-17.11
Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,5609.83,17,2243.93,40.00
Storage,Deluxe Rollaway Locking File with Drawer,5572.79,14,1380.72,24.78
Binders,Ibico Hi-Tech Manual Binding System,5535.57,45,-246.08,-4.45
Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.89,26,15.05,0.27
Chairs,"Global High-Back Leather Tilter, Burgundy",5436.15,54,-474.74,-8.73
Chairs,Hon Olson Stacker Chairs,5427.99,22,1292.12,23.80
Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,5327.26,17,1043.85,19.59
Chairs,Hon Olson Stacker Stools,5294.46,44,833.59,15.74
Phones,GE 30524EE4,5291.74,32,838.84,15.85
Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,5282.42,24,-989.04,-18.72
Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",5212.11,27,972.64,18.66
Machines,Swingline SM12-08 MicroCut Jam Free Shredder,5204.24,22,-882.12,-16.95
Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.10,27,-126.43,-2.44
Accessories,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.74,26,2155.90,42.11
Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.17,22,-404.00,-7.92
Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,5009.49,16,715.64,14.29
Phones,Panasonic KX-TG9471B,4978.15,27,1168.11,23.46
Tables,Chromcraft Rectangular Conference Tables,4952.66,30,-450.24,-9.09
Phones,Apple iPhone 5S,4901.91,11,512.99,10.47
Bookcases,OSullivan 2-Door Barrister Bookcase in Odessa Pine,4886.47,31,566.48,11.59
Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.83,19,1154.97,23.77
Storage,Fellowes Staxonsteel Drawer Files,4829.25,26,509.98,10.56
Storage,Smead Adjustable Mobile File Trolley with Lockable Top,4778.77,12,1106.66,23.16
Chairs,High-Back Leather Managers Chair,4770.64,42,-197.59,-4.14
Storage,SAFCO Boltless Steel Shelving,4704.71,46,-470.47,-10.00
Chairs,Global Executive Mid-Back Managers Chair,4626.58,18,750.72,16.23
Chairs,DMI Arturo Collection Mission-style Design Wood Chair,4619.99,37,486.15,10.52
Phones,Polycom CX600 IP Phone VoIP phone,4619.23,17,896.85,19.42
Storage,Letter Size Cart,4600.09,33,1252.90,27.24
Tables,KI Adjustable-Height Table,4552.62,74,-248.50,-5.46
Tables,"Bevis Round Bullnose 29"" High Table Top",4544.93,24,-192.19,-4.23
Storage,Fellowes Officeware Wire Shelving,4509.47,55,-332.36,-7.37
Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,33,388.76,8.68
Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,17,956.96,21.38
Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.17,25,-1147.41,-25.81
Phones,Nortel Meridian M3904 Professional Digital phone,4434.91,32,936.25,21.11
Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.06,24,41.11,0.93
Copiers,Sharp 1540cs Digital Laser Copier,4399.91,10,1649.96,37.50
Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.04,33,-36.54,-0.83
Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.83,22,430.06,9.92
Tables,Bevis 36 x 72 Conference Tables,4332.26,40,448.17,10.34
Binders,GBC DocuBind TL200 Manual Binding Machine,4322.81,23,1592.48,36.84
Tables,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.65,11,-611.59,-14.23
Machines,Cisco 9971 IP Video Phone Charcoal,4268.00,16,466.40,10.93
Phones,Motorola L703CM,4211.73,32,467.98,11.11
Binders,GBC DocuBind 200 Manual Binding Machine,4209.81,15,1052.46,25.00
Copiers,Hewlett Packard 310 Color Digital Copier,4199.85,16,839.98,20.00
Storage,"SAFCO Commercial Wire Shelving, Black",4199.45,35,-635.45,-15.13
Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.49,31,342.88,8.19
Binders,Fellowes PB200 Plastic Comb Binding Machine,4181.76,38,693.56,16.59
Phones,Cisco SPA301,4180.52,30,904.74,21.64
Chairs,"Global Wood Trimmed Managers Task Chair, Khaki",4166.89,59,-503.12,-12.07
Copiers,Canon PC-428 Personal Copier,4119.80,25,1469.92,35.68
Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.39,24,733.28,18.13
Storage,Fellowes Super Stor/Drawer Files,4006.44,27,473.34,11.81
Phones,Samsung Galaxy S4 Active,3999.92,8,1039.98,26.00
Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,3998.40,35,499.80,12.50
Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2,1995.99,50.00
Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.73,32,425.76,10.67
Phones,Polycom SoundStation2 EX Conference phone,3968.51,12,518.34,13.06
Tables,Hon Racetrack Conference Tables,3963.90,22,-598.52,-15.10
Copiers,Canon Image Class D660 Copier,3959.93,7,1691.97,42.73
Chairs,"Global Airflow Leather Mesh Back Chair, Black",3955.67,32,573.72,14.50
Storage,Fellowes High-Stak Drawer Files,3946.66,26,419.33,10.62
Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.05,23,289.57,7.50
Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 16 x 20 Room,3855.18,14,1503.52,39.00
Phones,Polycom SoundPoint IP 450 VoIP phone,3839.63,22,162.61,4.24
Phones,Google Nexus 5,3815.79,23,710.95,18.63
Tables,Hon Non-Folding Utility Tables,3775.66,29,541.66,14.35
Accessories,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.80,22,21.59,0.58
Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.12,14,608.04,16.26
Phones,Aastra 57i VoIP phone,3684.72,26,575.33,15.61
Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.53,35,-491.17,-13.35
Phones,Polycom VoiceStation 500 Conference phone,3657.38,15,339.21,9.27
Chairs,"Situations Contoured Folding Chairs, 4/Set",3641.26,64,234.23,6.43
Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.01,34,-208.65,-5.75
Phones,Toshiba IPT2010-SD IP Telephone,3613.74,31,425.32,11.77
Tables,"Bush Cubix Conference Tables, Fully Assembled",3603.29,19,311.82,8.65
Phones,Pyle PMP37LED,3590.02,43,576.90,16.07
Tables,Global Adaptabilities Conference Tables,3540.35,14,354.04,10.00
Storage,"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,19,536.91,15.18
Chairs,Global Comet Stacking Armless Chair,3528.79,14,514.36,14.58
Appliances,Avanti 4.4 Cu. Ft. Refrigerator,3511.01,24,383.67,10.93
Tables,Hon Rectangular Conference Tables,3481.51,20,-295.82,-8.50
Tables,"Iceberg OfficeWorks 42"" Round Tables",3457.44,30,-392.54,-11.35
Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,8,206.87,6.00
Bookcases,OSullivan Living Dimensions 5-Shelf Bookcases,3420.77,21,-755.76,-22.09
Phones,Geemarc AmpliPOWER60,3415.04,46,384.18,11.25
Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.50,5,1668.20,49.00
Tables,Bush Advantage Collection Round Conference Table,3401.60,19,210.47,6.19
Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.31,37,78.25,2.30
Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,18,100.21,2.99
Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.87,36,1517.91,45.68
Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.72,34,135.59,4.09
Furnishings,Tenex Antistatic Computer Chair Mats,3317.02,25,-530.03,-15.98
Tables,Bevis 44 x 96 Conference Tables,3253.22,20,-164.71,-5.06
Binders,Ibico EB-19 Dual Function Manual Binding System,3234.90,23,1086.35,33.58
Binders,GBC ProClick 150 Presentation Binding System,3222.99,22,-461.32,-14.31
Machines,Okidata C331dn Printer,3210.80,12,111.68,3.48
Storage,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,20,-167.27,-5.26
Phones,Panasonic KX T7731-B Digital phone,3168.60,22,581.65,18.36
Phones,Jabra SPEAK 410,3158.07,37,654.17,20.71
Chairs,"Global Fabric Managers Chair, Dark Gray",3150.58,35,499.87,15.87
Tables,Hon 2111 Invitation Series Corner Table,3140.56,18,-402.00,-12.80
Storage,Economy Rollaway Files,3138.80,20,693.82,22.10
Phones,BlackBerry Q10,3099.36,27,548.06,17.68
Phones,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.80,25,1147.43,37.50
Appliances,Hoover WindTunnel Plus Canister Vacuum,3051.30,9,697.44,22.86
Phones,Digium D40 VoIP phone,3044.16,27,571.40,18.77
Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.00,8,1459.20,48.00
Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.50,31,401.22,13.20
Storage,Space Solutions HD Industrial Steel Shelving.,3035.21,27,24.16,0.80
Storage,Carina Double Wide Media Storage Towers in Natural & Black,3028.65,39,-3.23,-0.11
Supplies,Compact Automatic Electric Letter Opener,2982.75,26,-57.28,-1.92
Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.01,26,54.72,1.84
Bookcases,OSullivan Living Dimensions 2-Shelf Bookcases,2970.06,28,-78.64,-2.65
Chairs,"Global Managers Adjustable Task Chair, Storm",2959.21,23,493.70,16.68
Binders,GBC DocuBind P100 Manual Binding Machine,2954.44,27,489.65,16.57
Bookcases,OSullivan Plantations 2-Door Library in Landvery Oak,2946.36,22,-767.75,-26.06
Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,2946.19,18,-872.07,-29.60
Chairs,Novimex Swivel Fabric Task Chair,2913.92,25,-445.39,-15.28
Phones,ShoreTel ShorePhone IP 230 VoIP phone,2906.62,21,422.47,14.53
Bookcases,OSullivan Living Dimensions 3-Shelf Bookcases,2904.16,17,-170.84,-5.88
Appliances,Kensington 7 Outlet MasterPiece Power Center,2883.28,21,229.59,7.96
Accessories,Logitech Wireless Gaming Headset G930,2879.82,21,763.15,26.50
Phones,Bose SoundLink Bluetooth Speaker,2865.60,18,967.14,33.75
Furnishings,"Electrix Architects Clamp-On Swing Arm Lamp, Black",2863.80,33,627.18,21.90
Tables,"Lesro Round Back Collection Coffee Table, End Table",2847.79,20,-328.59,-11.54
Supplies,Premier Automatic Letter Opener,2836.36,14,-427.86,-15.08
Accessories,Logitech Wireless Headset h800,2799.72,32,719.93,25.71
Paper,Xerox 1915,2789.01,28,1262.40,45.26
Furnishings,Electrix Halogen Magnifier Lamp,2759.06,17,314.77,11.41
Accessories,Maxell iVDR EX 500GB Cartridge,2755.40,10,1184.83,43.00
Phones,VTech DS6151,2746.57,25,478.78,17.43
Phones,Nortel Meridian M5316 Digital phone,2744.87,13,253.78,9.25
Bookcases,OSullivan 4-Shelf Bookcase in Odessa Pine,2740.20,37,-975.12,-35.59
Storage,"Carina Mini System Audio Rack, Model AR050B",2730.11,26,-68.80,-2.52
Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,14,578.68,21.38
Chairs,Hon Mobius Operators Chair,2705.78,23,499.33,18.45
Furnishings,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.05,29,1260.23,46.69
Tables,"Bevis Round Conference Table Top, X-Base",2671.42,20,-519.94,-19.46
Accessories,Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,16,398.98,15.00
Chairs,Global Highback Leather Tilter in Burgundy,2647.82,34,49.13,1.86
Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,2645.81,26,83.70,3.16
Supplies,Premier Electric Letter Opener,2641.62,24,0.01,0.00
Phones,Vtech CS6719,2630.12,32,418.52,15.91
Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.84,18,723.16,27.56
Accessories,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.74,29,995.91,38.02
Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.19,43,153.35,5.87
Phones,Motorola Droid Maxx,2609.82,21,341.98,13.10
Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.19,15,-48.80,-1.89
Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54,23,51.06,2.00
Tables,Bevis Boat-Shaped Conference Table,2542.47,15,-445.60,-17.53
Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.84,17,1092.68,42.99
Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.96,7,-252.00,-10.00
Storage,Safco Industrial Wire Shelving System,2511.04,30,-218.36,-8.70
Paper,Easy-staple paper,2504.18,150,1096.00,43.77
Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28,21,563.81,22.63
Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.39,36,380.58,15.29
Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.76,15,410.36,16.50
Storage,Sensible Storage WireTech Storage Systems,2484.31,38,-78.06,-3.14
Phones,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15,19,540.00,21.76
Accessories,Enermax Acrylux Wireless Keyboard,2450.16,29,630.47,25.73
Chairs,"Global Value Mid-Back Managers Chair, Gray",2442.04,51,117.48,4.81
Machines,Panasonic KX MB2061 Multifunction Printer,2396.40,10,179.73,7.50
Chairs,Global Super Steno Chair,2389.90,30,-0.01,0.00
Chairs,Harbour Creations Steel Folding Chair,2389.13,34,336.39,14.08
Accessories,Logitech Gaming G510s - Keyboard,2362.72,31,676.53,28.63
Machines,"3D Systems Cube Printer, 2nd Generation, White",2339.98,3,-468.00,-20.00
Accessories,Logitech G700s Rechargeable Gaming Mouse,2339.76,25,889.92,38.03
Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,13,-785.77,-33.71
Storage,"Fellowes Mobile File Cart, Black",2300.66,40,485.03,21.08
Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.74,28,-172.95,-7.52
Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.12,39,-12.14,-0.53
Tables,Bevis Round Conference Table Top & Single Column Base,2297.54,19,100.98,4.40
Phones,Xiaomi Mi3,2279.96,4,592.79,26.00
Furnishings,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.97,25,148.37,6.54
Binders,GBC DocuBind P50 Personal Binding Machine,2264.89,50,569.40,25.14
Phones,Cisco IP Phone 7961G-GE VoIP phone,2252.44,15,-119.12,-5.29
Accessories,Plantronics S12 Corded Telephone Headset System,2242.04,23,754.53,33.65
Tables,BPI Conference Tables,2241.86,26,-795.98,-35.51
Phones,Plantronics HL10 Handset Lifter,2227.01,24,250.54,11.25
Phones,Konftel 250 Conference phone - Charcoal black,2221.59,9,324.70,14.62
Appliances,Avanti 1.7 Cu. Ft. Refrigerator,2221.56,24,476.63,21.45
Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.96,13,231.65,10.49
Chairs,"Global Value Steno Chair, Gray",2204.85,43,246.00,11.16
Chairs,Office Star - Mesh Screen back chair with Vinyl seat,2200.46,20,-130.98,-5.95
Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,16,569.84,26.00
Chairs,"Global Push Button Managers Chair, Indigo",2185.96,44,283.74,12.98
Paper,Xerox 1881,2167.35,70,1006.42,46.44
Phones,Jabra Supreme Plus Driver Edition Headset,2159.82,22,259.18,12.00
Accessories,Razer Kraken PRO Over Ear PC and Music Headset,2159.73,30,479.94,22.22
Accessories,Logitech G35 7.1-Channel Surround Sound Headset,2157.83,17,699.35,32.41
Phones,Samsung Galaxy Note 3,2155.90,13,154.00,7.14
Bookcases,Sauder Inglewood Library Bookcases,2154.35,14,311.18,14.44
Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",2141.64,48,947.54,44.24
Tables,KI Conference Tables,2140.89,44,-479.21,-22.38
Phones,Mitel 5320 IP Phone VoIP phone,2116.68,14,211.68,10.00
Accessories,Imation Bio 2GB USB Flash Drive Imation Corp,2098.88,16,881.53,42.00
Tables,Laminate Occasional Tables,2096.17,18,-206.54,-9.85
Binders,Avery Arch Ring Binders,2068.82,64,349.61,16.90
Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.22,24,-173.14,-8.39
Phones,Cisco SPA 502G IP Phone,2063.14,21,299.89,14.54
Furnishings,"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.50,19,-529.76,-25.74
Phones,HTC One Mini,2041.03,19,317.50,15.56
Tables,Hon 2111 Invitation Series Straight Table,2040.06,18,-115.31,-5.65
Tables,"Bevis Traditional Conference Table Top, Plinth Base",2033.50,9,-456.71,-22.46
Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,10,-460.67,-22.67
Phones,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.31,18,-339.71,-16.76
Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,2022.27,14,872.10,43.12
Phones,Jabra SPEAK 410 Multidevice Speakerphone,2018.70,13,10.30,0.51
Phones,Ooma Telo VoIP Home Phone System,2015.83,18,314.98,15.63
Machines,Okidata C610n Printer,2011.90,5,-292.05,-14.52
Appliances,Belkin 7 Outlet SurgeMaster II,2010.86,29,376.50,18.72
Accessories,Logitech G602 Wireless Gaming Mouse,1999.74,29,515.14,25.76
Phones,Adtran 1202752G1,1990.65,18,312.46,15.70
Phones,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,12,593.97,30.00
Storage,Space Solutions Commercial Steel Shelving,1952.43,33,-74.32,-3.81
Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.18,20,413.64,21.24
Appliances,Harmony Air Purifier,1946.70,13,374.22,19.22
Phones,AT&T 1080 Corded phone,1945.26,18,145.22,7.47
Phones,AT&T CL83451 4-Handset Telephone,1936.30,10,473.78,24.47
Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1926.92,32,408.75,21.21
Phones,Logitech Mobile Speakerphone P710e - speaker phone,1916.71,17,241.61,12.61
Accessories,Plantronics Audio 995 Wireless Stereo Headset,1913.13,18,587.12,30.69
Bookcases,"OSullivan Elevations Bookcase, Cherry Finish",1912.30,18,-68.11,-3.56
Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.82,19,-78.20,-4.09
Phones,Polycom SoundPoint Pro SE-225 Corded phone,1903.84,19,276.05,14.50
Bookcases,Bestar Classic Bookcase,1897.80,31,-612.93,-32.30
Chairs,Novimex Fabric Task Chair,1890.39,39,-131.12,-6.94
Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890.00,22,622.80,32.95
Paper,Multicolor Computer Printout Paper,1887.30,19,851.38,45.11
